,prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
163,625000$,,,,,St-Donat,Lanaudière,Condos Lac Archambault - Phase 4,5,2,,3,1 996 pi² (185.43 m²),
164,547800$,,,,,Ste-Julie,Montérégie (Rive-Sud Montréal),"101-361, rue McDuff",2,2,,1,1 280 pi² (118.92 m²),
165,363000$,,,,,Sherbrooke (Brompton),Estrie,"63, rue Gisèle-Trudeau- Par Les Entreprises Lachance",3,2,,1,884 pi² (82.13 m²),3 657 pi² (339.75 m²)
166,450000$,"2458,34$","218,01$","2621,52$",,Drummondville (Drummondville),Centre-du-Québec,"2195, rue du Manoir",3,1,1,1,1 107 pi² (102.84 m²),8 471 pi² (786.98 m²)
167,625000$,"3818,87$","326,08$","3317,88$","1128,00$",Lavaltrie,Lanaudière,"42, rue des Epinettes",4,2,,2,2 400 pi² (222.97 m²),7 200 pi² (668.9 m²)
168,689000$,"620,00$","258,05$",,,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"255, rue Verreau",4,2,,1,1 175 pi² (109.16 m²),5 900 pi² (548.13 m²)
169,349900$,"2293,05$","172,22$","1237,51$","85,00$",St-Roch-De-Richelieu,Montérégie (Rive-Sud Montréal),"803, rue Richelieu",3,1,1,1,1 180 pi² (109.63 m²),98x26 pi (29.87x7.92 m)
170,378500$,"1360,00$","170,00$","550,00$","255,00$",Le Plateau-Mont-Royal,Montréal / l'Île,"4724B, rue Messier",1,1,1,3,518 pi² (48.12 m²),
172,899999$,,,,,St-Étienne-De-Bolton,Estrie,"157, chemin de la Serpentine",2,1,,1,1 200 pi² (111.48 m²),106 378.65 pi² (9 882.9 m²)
173,435500$,,,,,Beauport,Québec Rive-Nord,"263, Saint-Honoré",3,1,1,2,1 350 pi² (125.42 m²),16 062 pi² (1 492.21 m²)
174,475000$,,,,,Bowman,Outaouais,"9, chemin du Sommet - Par Laforest Habitat Durable",2,1,,1,1 335 pi² (124.03 m²),50 342 pi² (4 676.92 m²)
175,225000$,"1150,00$","90,00$",,,Orford,Estrie,"4997, chemin du Parc",1,1,,1,438.09 pi² (40.7 m²),
176,1049000$,"4680,00$","585,00$","2675,00$","950,00$",Ahuntsic / Cartierville,Montréal / l'Île,"10360, rue Tolhurst",4,2,,1,1 300 pi² (120.77 m²),2 813 pi² (261.34 m²)
177,1500000$,"12371,00$",,,,Victoriaville,Centre-du-Québec,"330, rue des Chalets",11,6,1,,,21 358.83 pi² (1 984.3 m²)
178,759900$,,,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"405-360, rue Atateken - Le Solano Phase 8",2,1,1,1,883 pi² (82.03 m²),
179,225000$,,,,,Waterloo,Estrie,", rue des Flandres",,,,,,12 578.7 pi² (1 168.6 m²)
180,267000$,"2200,00$","300,00$","1500,00$",,Val-Bélair,Québec Rive-Nord,"1264, rue de l'Etna",3,1,1,1,640 pi² (59.46 m²),3 229 pi² (299.98 m²)
181,795000$,"3412,95$","424,35$","2825,00$",,La Prairie,Montérégie (Rive-Sud Montréal),"710, boulevard de la Magdeleine",4,2,1,2,"1,811 pi² (168.25 m²)","6,000 pi² (557.42 m²)"
182,445000$,"906,26$","132,00$",,"670,00$",St-Pie,Montérégie (Rive-Sud Montréal),"1449, rang de la Rivière N",4,1,,2,24x24 pi (7.32x7.32 m),498.33x262.66 pi (151.89x80.06 m)
184,339900$,"1869,78$","108,82$","2018,59$",,Ste-Adèle,Laurentides,"24-255, rue Séraphin",3,1,1,2,1 248 pi² (115.94 m²),
185,495000$,"3628,86$","160,05$","1390,00$","3120,00$",Gatineau (Hull),Outaouais,"35-35A-35B, rue Joffre",5,3,,,,5 000 pi² (464.52 m²)
186,1399000$,"5244,93$","658,84$",,,Ahuntsic / Cartierville,Montréal / l'Île,"44, boulevard Gouin O",5,3,1,2,2 305.63 pi² (214.2 m²),4 085.98 pi² (379.6 m²)
187,168000$,"1268,40$","80,21$",,"471,97$",Beaupré,Québec Rive-Nord,"10-351C, rue du Plateau",2,1,,1,,
188,339900$,,,,,Lachute,Laurentides,de l'aeroparc - Modèle Pierre de lune 3 - Par Construction Briand,2,1,,1,810 pi² (75.25 m²),5 000 pi² (464.52 m²)
189,384999$,"3080,00$","240,00$",,,Gatineau (Aylmer),Outaouais,"4-235, rue de Dublin",2,1,,3,1 073.16 pi² (99.7 m²),
190,215890$,"2763,52$","86,66$",,,Stanstead,Estrie,"60-62-64, rue Railroad",7,3,,,,26 144.46 pi² (2 428.9 m²)
191,500000$,"4953,00$","473,00$",,,Venise-En-Quebec,Montérégie (Rive-Sud Montréal),"156, 50e rue Est",2,1,,2,1 480 pi² (137.5 m²),13 742 pi² (1 276.67 m²)
192,685000$,"3250,00$","576,69$","2712,20$","1714,00$",Prévost,Laurentides,"1020, rue du Monarque",3,2,1,2,1 447 pi² (134.43 m²),56 723.66 pi² (5 269.8 m²)
193,619900$,"2419,32$","403,05$","645,00$",,Carignan,Montérégie (Rive-Sud Montréal),"3-307, rue de l'Aigle",2,1,1,1,1 346 pi² (125.05 m²),
194,299000$,"3185,00$","131,00$","2400,00$","1028,00$",Trois-Rivières (Cap-De-La-Madeleine),Mauricie,"211, rue Marie-Duteau",4,2,,1,884 pi² (82.13 m²),4 660 pi² (432.93 m²)
196,575000$,"4420,25$","394,44$","2200,00$","1900,00$",Val-Des-Monts (Perkins),Outaouais,"30, rue Cédric",4,2,,,,43 560 pi² (4 046.86 m²)
197,167500$,"2333,80$","90,16$","1254,00$",,St-Jean-De-Dieu,Bas-Saint-Laurent,"8, rue de la Villa",5,2,,1,1 200 pi² (111.48 m²),5 688 pi² (528.43 m²)
198,599000$,"3620,00$","360,00$","1870,00$","1200,00$",Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"6000, boulevard Payer",4,1,1,1,1 370 pi² (127.28 m²),6 024 pi² (559.65 m²)
199,265000$,"1854,95$","95,74$","1524,84$","881,00$",Louiseville,Mauricie,"451, 2e Rue",3,1,1,1,1 120 pi² (104.05 m²),5 999.80 pi² (557.4 m²)
200,355000$,"2995,00$","230,00$","2627,00$",,Charny,Québec Rive-Sud (Lévis),"5104, avenue des Générations",3,1,1,2,"1,781.43 pi² (165.5 m²)",52.99x40.98 pi (16.15x12.49 m)
201,325000$,"3010,00$","226,00$","1135,00$","862,00$",St-Charles-De-Bellechasse,Chaudière-Appalaches,"257, avenue Gauthier",4,2,,1,1 900 pi² (176.52 m²),5 855.57 pi² (544 m²)
202,49900$,,,,,Petite-Rivière-St-François,Charlevoix,chemin de la Sainte-Monique,,,,,,47 000 pi² (4 366.44 m²)
203,610000$,"2639,35$","320,10$","600,00$",,L'Ile Des Soeurs,Montréal / l'Île,"407-201, chemin du Club-Marin",2,2,,1,1 070 pi² (99.41 m²),
204,550467$,,,,,Chomedey,Laval,Le Market - unité 306,2,1,,1,1 238 pi² (115.01 m²),
205,635000$,"6320,00$","371,00$",,,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,"5925, rue Bellefeuille",8,4,2,,,7 750 pi² (720 m²)
206,449000$,,,,"500,00$",St-Alexis-Des-Monts,Mauricie,"880, rue Fafard",2,1,,1,780 pi² (72.46 m²),100 000 pi² (9 290.3 m²)
208,329900$,"1636,96$","160,84$","1200,00$",,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"110-1780, rue des Saphirs",2,1,1,3,"1,006 pi² (93.46 m²)",
209,1500000$,,,,,St-Denis-De-Brompton,Estrie,"6528746, chemin Bouffard",,,,,,2 962 080.01 pi² (68 acres)
210,839999$,"3963,00$","426,00$","2400,00$",,Blainville,Laurentides,"44, rue Paul Albert",4,2,,1,1 405 pi² (130.53 m²),6 081 pi² (564.94 m²)
211,289900$,,,,,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),"574, rue René-Richard - Par Terrain Dev Immobilier inc.",2,1,1,2,,4 443 pi² (412.77 m²)
212,432000$,,,,,Drummondville (Drummondville),Centre-du-Québec,"273, rue Plessis - Par Construction Serge Brouillette",2,1,,1,1 400 pi² (130.06 m²),6 372 pi² (591.98 m²)
213,494999$,,,,,Ahuntsic / Cartierville,Montréal / l'Île,"C7-10037, boulevard St-Laurent - Axe St-Laurent 2",2,1,,3,970 pi² (90.12 m²),
214,475000$,,,,,Beaupré,Québec Rive-Nord,"200, rue du Beau-Mont - Le Pavillon sur le Golf",1,1,,1,,
215,449500$,"3699,10$","354,64$",,,Ste-Foy,Québec Rive-Nord,"1287, rue Arthur-Labrie",4,2,,1,"1,604 pi² (149.02 m²)","7,700.5 pi² (715.4 m²)"
216,549900$,"2597,81$","291,16$",,,St-Germain-De-Grantham,Centre-du-Québec,"273, rue des Parulines",5,2,,2,1 638 pi² (152.18 m²),10 678 pi² (992.02 m²)
217,329000$,"1300,00$",,"1000,00$","400,00$",Hemmingford,Montérégie (Rive-Sud Montréal),"A-343, route 219 Sud",2,1,1,1,1 078 pi² (100.15 m²),
218,549900$,"3519,48$","258,49$","1336,92$","3519,48$",Gatineau (Hull),Outaouais,"71, rue Sherbrooke",5,3,,,,4 700.06 pi² (436.65 m²)
220,200000$,"1841,88$","139,60$",,,Charlesbourg,Québec Rive-Nord,"F-281, rue Albert-Ouellet",2,1,,1,900 pi² (83.61 m²),
221,809000$,"4139,00$","441,00$","4000,00$",,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"1259, rue des Éperviers",4,1,1,2,2 010 pi² (186.74 m²),6 763 pi² (628.3 m²)
222,319000$,"2094,43$","132,77$","1040,74$",,Joliette,Lanaudière,"1103, rue Saint-Viateur",2,1,1,2,1 106 pi² (102.75 m²),2 082.39 pi² (193.46 m²)
223,385000$,"3030,00$","144,00$","500,00$","2308,00$",St-Sauveur,Laurentides,"102-31, chemin Victor-Nymark",1,1,,1,568.33 pi² (52.8 m²),4 755.50 pi² (441.8 m²)
224,798000$,"4220,00$","487,00$","1750,00$",,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"3205, avenue Lebrun",3,2,2,2,1 680 pi² (156.08 m²),3 071 pi² (285.31 m²)
225,469900$,"3363,00$","304,00$","2264,00$","852,00$",Charlesbourg,Québec Rive-Nord,"630, boulevard du Lac",3,2,1,1,"1,204 pi² (111.86 m²)","15,190 pi² (1,411.2 m²)"
226,229000$,"1740,59$","135,99$","850,00$",,St-Hyacinthe,Montérégie (Rive-Sud Montréal),"102-2350, avenue Desaulniers",2,1,,3,856.81 pi² (79.6 m²),1 062.4 pi² (98.7 m²)
227,565900$,"3476,00$","258,00$","698,00$","1400,00$",Gatineau (Aylmer),Outaouais,"536, rue Chagnon",3,3,1,2,1 500 pi² (139.35 m²),2 270.11 pi² (210.9 m²)
228,212000$,,"144,00$",,,Loretteville,Québec Rive-Nord,"102, rue Lavallée",,,,,,9 687.52 pi² (900 m²)
229,649000$,"3510,39$","375,54$","275,00$",,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"862, rue Maple",4,2,,3,1 410 pi² (130.99 m²),5 950 pi² (552.77 m²)
230,320000$,,,,,Mirabel (St-Canut),Laurentides,"206-15205, rue du Faucon",2,1,,1,1 041 pi² (96.71 m²),
232,175000$,"1902,03$","137,22$",,,St-Émile,Québec Rive-Nord,"2468, rue de la Faune",2,1,1,2,824 pi² (76.55 m²),4 070 pi² (378.12 m²)
233,750000$,"5284,65$","434,00$","4500,00$","6359,00$",Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"4065, rue Chardin",5,3,1,2,2 902 pi² (269.6 m²),18 200 pi² (1 690.84 m²)
234,549999$,"3256,96$",,"500,00$",,Gatineau (Gatineau),Outaouais,"212, rue de Gallichan",3,2,1,2,1 775 pi² (164.9 m²),31.69x98.43 pi (9.66x30 m)
235,199995$,"993,06$","115,34$",,,St-Henri-de-Lévis,Chaudière-Appalaches,"63-65, rue des Grenats",,,,,,11 629 pi² (1 080.37 m²)
236,275000$,"2241,50$","190,00$","1000,00$","450,00$",Ste-Foy,Québec Rive-Nord,"306-2635, rue de la Picardie",2,1,1,1,1 013 pi² (94.11 m²),
237,189000$,"1628,94$","34,56$","1500,00$","1993,10$",Desbiens,Saguenay-Lac-Saint-Jean,"1323, rue Hebert",,,,,,9 000 pi² (836.13 m²)
238,515000$,"2284,00$","250,00$","1550,00$","900,00$",Blainville,Laurentides,"63, rue Martin",4,1,1,1,864 pi² (80.27 m²),4 770 pi² (443.15 m²)
239,622000$,,,,,Ste-Julie,Montérégie (Rive-Sud Montréal),"349, rue de Limoilou",4,1,1,3,1 440 pi² (133.78 m²),5 200 pi² (483.1 m²)
240,900000$,"5427,75$","687,00$","858,63$",,McMasterville,Montérégie (Rive-Sud Montréal),"63, chemin du Richelieu",2,2,1,2,2 546 pi² (236.53 m²),10 405 pi² (966.66 m²)
241,299000$,,,,,Verchères,Montérégie (Rive-Sud Montréal),", chemin du Cordon",,,,,,568 334.47 pi² (5.28 hectares)
242,469900$,"2566,42$","213,81$","1900,00$","900,00$",Terrebonne (Terrebonne),Lanaudière,"230, 4e Avenue",3,2,,1,900 pi² (83.61 m²),5 000 pi² (464.52 m²)
244,350000$,"2831,03$","300,00$","1836,60$",,Magog,Estrie,"37, rue des Cèdres",3,2,,1,29.53x26.25 pi (9.00x8.00 m),18 309 pi² (1 700.96 m²)
245,145000$,,,,,Ste-Agathe-Des-Monts,Laurentides,"10, rue Madeleine",,,,,,14 700 pi² (1 365.67 m²)
246,430000$,"2232,37$","222,96$","227,42$",,Ste-Rose,Laval,"71, terrasse Dufferin",3,2,,2,27.10x35.56 pi (8.26x10.84 m),50.00x100.00 pi (15.24x30.48 m)
247,449000$,"730,60$","80,95$",,,Bolton-Est,Estrie,"357, 11e Rang",,,,,,1 103 374.80 pi² (25.33 acres)
248,245000$,"2659,12$","172,02$","2700,00$","1048,00$",Jonquière (Arvida),Saguenay-Lac-Saint-Jean,"1931, rue Deschênes",4,1,1,1,288.65 pi² (26.82 m²),2 441.34 pi² (226.81 m²)
249,585000$,"3060,00$","386,00$","565,00$","452,00$",Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"27-50, rue McGill",2,1,,1,850 pi² (78.97 m²),198 pi² (18.39 m²)
250,229500$,"1053,00$","102,50$",,,Chambly,Montérégie (Rive-Sud Montréal),"171, rue Joseph-Bresse",1,1,1,1,558.65 pi² (51.9 m²),
251,327000$,"1635,99$","157,78$","2303,70$",,St-David-de-Falardeau,Saguenay-Lac-Saint-Jean,"155, rue Dufour",4,2,1,1,1 080 pi² (100.34 m²),7 437.86 pi² (691 m²)
252,75000$,,,,,St-Gilles,Chaudière-Appalaches,"., Sortie des Commissaires",,,,,,
253,430000$,"3312,27$","297,64$","2200,00$",,Ste-Foy,Québec Rive-Nord,"1447, rue Annette-Leclerc",4,2,,4,999.4 pi² (92.85 m²),4 999.84 pi² (464.5 m²)
254,599000$,"2351,00$","333,00$",,,Ste-Marguerite-Du-Lac-Masson,Laurentides,"88, Du Violoncelle",3,1,1,2,"1,600 pi² (148.64 m²)","32,557 pi² (3,024.64 m²)"
256,369000$,"1809,00$","184,73$",,,Vaudreuil-Dorion,Montérégie Ouest,"5-620, rue Forbes",2,1,,4,"1,156 pi² (107.4 m²)",
257,889000$,"3830,00$","470,53$",,,Lachine,Montréal / l'Île,"580, 528 6e avenue",3,2,,,,50.00x75.00 pi (15.24x22.86 m)
258,624000$,"2851,15$","305,19$","1300,00$",,Carignan,Montérégie (Rive-Sud Montréal),"3243, boulevard Désourdy",4,2,1,2,1 388 pi² (128.95 m²),2 687.75 pi² (249.7 m²)
259,379900$,,,,,Contrecoeur,Montérégie (Rive-Sud Montréal),"4565, rue Olivier Gloutnez - Par Duo Immobilier",2,1,,1,940 pi² (87.33 m²),42x99 pi (12.80x30.18 m)
260,189000$,"2400,00$","109,00$","3150,00$","1147,00$",Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,"750, rue Saint-Jean",4,2,,2,1 456 pi² (135.27 m²),3 520 pi² (327.02 m²)
261,519999$,"3613,31$","279,86$","2700,00$",,Gatineau (Gatineau),Outaouais,"39, rue de Salernes",3,1,1,2,"1,819 pi² (168.99 m²)","5,015 pi² (465.91 m²)"
262,579990$,,,,,Gatineau (Masson-Angers),Outaouais,"285, rue du Petit Village",3,2,1,2,1 668 pi² (154.96 m²),36x9.5 pi (10.97x2.90 m)
263,406720$,,,,,Grenville,Laurentides,Rue Arnold - Le Ming 2 - Par Construction Briand,2,1,,1,998 pi² (92.72 m²),9 750.17 pi² (905.82 m²)
264,406720$,,,,,Grenville,Laurentides,Rue Arnold - Le Ming 2 - Par Construction Briand,2,1,,1,998 pi² (92.72 m²),9 750.17 pi² (905.82 m²)
265,789900$,,,,,Morin-Heights,Laurentides,"91, Mnt Hurtubise - Par Construction Briand",3,2,,1,1 536.33 pi² (142.73 m²),58 980 pi² (5 479.42 m²)
266,649000$,"3072,28$","217,67$","2766,00$","1746,29$",Gatineau (Gatineau),Outaouais,"901-903, rue Notre-Dame",3,2,,,,16 545 pi² (1 537.08 m²)
268,435000$,"2747,57$","195,38$",,,Gatineau (Buckingham),Outaouais,"1030, rue Georges",3,2,,1,1 200 pi² (111.48 m²),91.6x150.11 pi (27.92x45.75 m)
269,389000$,,,,,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,"3785, rue de Landerneau",4,2,,1,"1,144 pi² (106.28 m²)","7,650 pi² (710.71 m²)"
270,389000$,"1825,83$","194,76$",,,Lachine,Montréal / l'Île,"201-680, 36e Avenue",2,1,,2,823 pi² (76.46 m²),
271,348900$,,,,,Stoneham,Québec Rive-Nord,"111, chemin des Affluents - Domaine de la Fable - PAR Construction McKinley",3,1,1,2,1 230 pi² (114.27 m²),2 131 pi² (197.98 m²)
272,495000$,"2211,26$","224,60$","2640,00$","1200,00$",Contrecoeur,Montérégie (Rive-Sud Montréal),"1679, rue Laurent-Hubert",3,2,1,2,1 280 pi² (118.92 m²),3 940 pi² (366.04 m²)
273,195000$,"1679,00$","130,00$","1080,00$","554,00$",Sherbrooke (Jacques-Cartier),Estrie,"101-3015, rue Savio",2,1,,1,1 037 pi² (96.34 m²),
274,389900$,"3117,00$","288,00$","2880,00$","1565,00$",Breakeyville,Québec Rive-Sud (Lévis),"64, rue des Grands-Bois",4,1,2,2,1 456 pi² (135.27 m²),5 812.51 pi² (540 m²)
275,710000$,,,,,La Macaza,Laurentides,"19, chemin de la Montagne",3,2,,2,,50 000 pi² (4 645.15 m²)
276,282000$,"2736,00$","142,00$","1820,00$",,St-Malachie,Chaudière-Appalaches,"618, avenue Principale",4,3,1,2,2 006 pi² (186.36 m²),52 944.45 pi² (4 918.7 m²)
277,285000$,"2892,51$","365,00$","1380,00$","125,00$",Ste-Julienne,Lanaudière,"1703, rue des Pelouses",3,1,,1,1 200 pi² (111.48 m²),11 000 pi² (1 021.93 m²)
278,218500$,"3053,87$","132,23$","2450,00$",,Baie-Comeau,Côte-Nord,"13, avenue Nicolas-Godbout",3,2,,1,40x26 pi (12.19x7.92 m),5 999.80 pi² (557.4 m²)
280,649900$,"3300,00$","380,00$","1880,00$",,Fabreville,Laval,"700, rue Blaise",3,1,1,2,1 592 pi² (147.9 m²),5 454 pi² (506.69 m²)
281,569000$,"1371,22$","373,20$","3790,00$",,St-Gabriel-De-Valcartier,Québec Rive-Nord,"229, chemin Redmond",4,1,1,2,1 843 pi² (171.22 m²),39 206.5 pi² (3 642.4 m²)
282,559000$,"2310,00$","260,00$","2000,00$",,Mascouche,Lanaudière,"3010, rue Jeannotte",3,2,1,2,1 420 pi² (131.92 m²),2 120 727.16 pi² (197 022 m²)
283,423000$,"2283,76$","239,51$","1491,27$",,Anjou,Montréal / l'Île,"401-7200, boulevard des Galeries d'Anjou",2,1,,1,1 025 pi² (95.23 m²),
284,295000$,"2999,15$","202,86$","3393,00$",,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"3647, rue Sainte-Catherine",3,2,,1,768 pi² (71.35 m²),"10,000 pi² (929.03 m²)"
285,315000$,"2600,00$","220,00$","1500,00$",,Charlesbourg (ND-Des-Laurentides),Québec Rive-Nord,"1607, avenue de Lorient",4,2,,1,37.70x25.33 pi (11.49x7.72 m),66.93x95.14 pi (20.4x29 m)
286,1299000$,"7116,08$","536,59$","1972,00$","2000,00$",Sherbrooke (Deauville),Estrie,"10371, rue des Riverins",4,3,2,2,2 948 pi² (273.88 m²),64x206 pi (19.51x62.79 m)
287,369900$,"3080,00$","222,00$","2200,00$",,Sts-Anges,Chaudière-Appalaches,"398, rue du Rocher",3,1,,1,1 263 pi² (117.34 m²),22 988 pi² (2 135.66 m²)
288,1000000$,,,,,Val-Des-Monts,Outaouais,"335, route du Carrefour",,,,,,1 437 480.00 pi² (33 acres)
289,250000$,"2137,00$","139,00$","1140,00$",,Portneuf,Portneuf,"440, rue Saint-François",3,1,1,1,"1,142.18 pi² (106.11 m²)","5,767.31 pi² (535.8 m²)"
290,525000$,"4357,83$",,"6800,00$",,St-Michel-de-Bellechasse,Chaudière-Appalaches,"76-78, rue Principale",,,,,,15 403.16 pi² (1 431 m²)
292,349900$,"1987,39$","168,07$","1148,30$","333,00$",St-Eustache,Laurentides,"6-130, rue Marie-Victorin",2,1,,1,1 152 pi² (107.02 m²),
293,569000$,"2772,41$","241,12$","1300,00$","1450,00$",Prévost,Laurentides,"1346, rue du Clos-Frantin",2,1,1,2,1 430 pi² (132.85 m²),11 372.07 pi² (1 056.5 m²)
294,489500$,"3294,00$","314,00$","2111,00$","1063,00$",Lévis,Québec Rive-Sud (Lévis),"39, rue de l'Aviation",3,2,1,2,1 471 pi² (136.66 m²),12 535 pi² (1 164.54 m²)
295,485000$,"2750,00$","800,00$","1800,00$",,Vimont,Laval,"1804, rue de Lunebourg",3,2,,1,936 pi² (86.96 m²),7 000 pi² (650.32 m²)
296,870000$,"5210,52$","565,86$","2638,23$","1412,64$",Montréal-Nord,Montréal / l'Île,"10782, avenue du Parc-Georges",5,3,1,2,"2,636 pi² (244.89 m²)","3,368 pi² (312.9 m²)"
297,529000$,"4076,06$","392,88$","1132,54$","882,00$",Beauport,Québec Rive-Nord,"485, rue de la Paumelle",3,2,,1,1 388.54 pi² (129 m²),7 189.22 pi² (667.9 m²)
298,475000$,"1959,33$","185,92$",,,La Pêche (Ste-Cecile-De-Masham),Outaouais,"3, chemin des Tournesols",2,1,,1,1 128 pi² (104.79 m²),40 865.19 pi² (3 796.5 m²)
299,269000$,"2125,00$",,,,Portneuf,Portneuf,"317, rue des Chênes",4,1,,1,918 pi² (85.28 m²),59.06x100.00 pi (18x30.48 m)
300,865000$,"3469,00$","492,75$","1182,78$","1232,79$",Brossard,Montérégie (Rive-Sud Montréal),"6175, rue Cavalieri",4,2,,2,"2,080 pi² (193.24 m²)","3,252 pi² (302.12 m²)"
301,560000$,"1872,42$","151,59$",,,Drummondville (Drummondville),Centre-du-Québec,"5, rang Saint Anne",1,1,1,2,844 pi² (78.41 m²),52x209 pi (15.85x63.70 m)
302,639000$,,,,,Lac-Beauport,Québec Rive-Nord,"30, chemin des Buis",3,1,1,2,"1,530 pi² (142.14 m²)","9,890 pi² (918.81 m²)"
304,540000$,"2400,00$","480,00$","2400,00$","1536,00$",Chomedey,Laval,"4019, 6e Rue",5,2,1,1,1 291.67 pi² (120 m²),4 612.34 pi² (428.5 m²)
305,475000$,"4121,00$","555,00$","1200,00$",,St-Augustin-De-Desmaures,Québec Rive-Nord,"133, rue du Seigle",3,1,1,2,"1,664.8 pi² (154.66 m²)","18,100 pi² (1,681.55 m²)"
306,399900$,,"213,30$",,,St-Alphonse-de-Granby,Estrie,"100-102, rue Georges",3,1,,,,40 131 pi² (3 728.29 m²)
307,385000$,"1900,00$","143,67$",,,St-Alphonse-de-Granby,Estrie,"119, rue Céline",4,1,1,1,949 pi² (88.16 m²),28 646 pi² (2 661.3 m²)
308,294500$,"2292,00$","193,07$","1200,00$","851,29$",St-Jean-Chrysostome,Québec Rive-Sud (Lévis),"1079, rue de la Manche",4,1,1,1,813.75 pi² (75.6 m²),48.00x147.64 pi (14.63x45 m)
309,319000$,"2521,12$","224,69$","2730,72$","1018,06$",Charny,Québec Rive-Sud (Lévis),"7425, rue du Colibri",3,1,1,1,900 pi² (83.61 m²),4 995 pi² (464.05 m²)
310,175000$,"950,50$","87,43$","1366,25$",,Les Éboulements,Charlevoix,"1939, route du Fleuve",4,1,,2,1 680 pi² (156.08 m²),6 481 pi² (602.1 m²)
311,645423$,,,,,Chomedey,Laval,"Marquise Condos - Unité 1006- 3653, avenue Jean-Beraud",2,2,,1,1 166 pi² (108.32 m²),
312,528000$,,"266,00$",,"480,00$",Boucherville,Montérégie (Rive-Sud Montréal),"4-658, rue des Sureaux",2,1,1,2,1 320 pi² (122.63 m²),
313,629500$,"2790,00$","263,00$",,,Blainville,Laurentides,"56, rue des Bouvreuils",4,2,,1,1 120 pi² (104.05 m²),6 999.7 pi² (650.29 m²)
314,374000$,,,,,Sherbrooke (Jacques-Cartier),Estrie,"3774, rue Émile-Chartier - Par Martin Ouimette Construction Inc",3,2,,1,910 pi² (84.54 m²),4 359.38 pi² (405 m²)
316,409000$,,,,,Sherbrooke (Jacques-Cartier),Estrie,"3780, rue Émile-Chartier - Par Martin Ouimette Construction Inc",2,2,,1,1 380 pi² (128.21 m²),5 166.68 pi² (480 m²)
317,700000$,,,,,St-Mathieu-De-Beloeil,Montérégie (Rive-Sud Montréal),Rue des Monts- Par Groupe Lobato,4,2,1,2,1 500 pi² (139.35 m²),50x100 pi (15.24x30.48 m)
318,1029000$,,,,,Chelsea,Outaouais,"16, ch des Rocheuses - Par Solico Construction",3,1,1,2,2 115 pi² (196.49 m²),43 560.00 pi² (1 acre)
319,599900$,,,,,Chateauguay,Montérégie (Rive-Sud Montréal),"108, rue Edmond - À CONSTRUIRE - Par Les Constructions RMR Leblanc Inc.",3,1,1,2,1 240 pi² (115.2 m²),4 571.4 pi² (424.7 m²)
320,769000$,"4315,46$","478,41$",,,Pincourt,Montérégie Ouest,"1302, rue des Cyprès",5,3,1,2,1 683 pi² (156.36 m²),6 749 pi² (627 m²)
321,165000$,"200,00$","100,00$",,,St-Joseph-De-Kamouraska,Bas-Saint-Laurent,8e Rang,,,,,,5 967 720.02 pi² (137 acres)
322,359000$,"3358,08$","253,51$","2900,00$",,Ste-Foy,Québec Rive-Nord,"966, boulevard Pie XII",6,2,,1,1 115.14 pi² (103.6 m²),6 750.05 pi² (627.1 m²)
323,339000$,"2491,00$","171,00$","840,00$",,Mascouche,Lanaudière,"309-2605, avenue de la Gare",2,1,,1,1 043 pi² (96.9 m²),
324,494500$,"2134,00$","225,00$","1900,00$","500,00$",St-Colomban,Laurentides,"349, rue Dupuis",3,1,,1,1 152 pi² (107.02 m²),44 543 pi² (4 138.18 m²)
325,525000$,"3762,00$","407,00$","1368,00$","850,00$",Lévis,Québec Rive-Sud (Lévis),"1180, rue des Pourpiers",4,2,1,2,1 806 pi² (167.78 m²),9 500 pi² (882.58 m²)
